,Country,2015Happiness Rank,2015Happiness Score,2016Happiness Rank,2016Happiness Score,2017Happiness Rank,2017Happiness Score,2018Happiness Rank,2018Happiness Score,2019Happiness Rank,2019Happiness Score,2015LE,2016LE,2017LE,2018LE,2019LE,2015GDP,2016GDP,2017GDP,2018GDP,2019GDP,2015HF,2016HF,2017HF,2018HF,2019HF,2015LS,2016LS,2017LS,2018LS,2019LS
52,Haiti,119.0,4.518,104.0,4.871,91.0,5.181000233,72.0,5.504,147.0,3.597,62.485,62.896,63.29,63.66,0,3994.636913,4173.3016659999985,4451.45099,4472.892363,4619.987097,6.85,6.83,6.71,0,0,0,3.352300167,3.823865652,3.614928007,0
53,Honduras,105.0,4.788,75.0,5.457999999999998,71.0,5.472000122000001,76.0,5.43,59.0,5.86,74.495,74.70100000000002,74.898,75.08800000000002,0,769.2560137,732.9665707,856.5652697999999,983.3094922,1064.1312369999996,6.81,6.71,6.81,0,0,0,5.648154736,6.019985676,5.908423901,0
54,Hong Kong,72.0,5.474,91.0,5.145,75.0,5.323999882,69.0,5.62,76.0,5.43,84.27804878,84.22682927,84.68048780000002,84.93414634,0,815.7282844,735.3017702999998,765.7272943,868.3420248,754.5879177,8.82,8.74,8.81,0,0,0,5.498420715,5.362474918,0.0,0
55,Hungary,104.0,4.8,3.0,7.501,3.0,7.504000187000001,4.0,7.495,62.0,5.757999999999999,75.56829268,76.06341463,75.81707317,76.06585366,0,2302.201379,2342.584651,2453.727896,2505.776752,2574.912191,7.84,7.76,7.65,0,0,0,5.448901652999999,6.065038681,0.0,0
56,Iceland,2.0,7.561,118.0,4.404,122.0,4.315000057,133.0,4.19,4.0,7.494,82.46829268,82.20487805,82.66097561,82.86097561,0,12651.56834,12992.37567,14457.60876,16150.77276,16475.741840000002,8.22,8.39,8.41,0,0,0,7.510034561,7.476213932,0.0,0
57,India,117.0,4.565,79.0,5.314,81.0,5.262000083999999,96.0,5.093,140.0,4.015,68.607,68.89699999999999,69.165,69.416,0,52564.42919,61466.80397000001,71310.93925,72968.70422999999,66944.82551,6.49,6.54,6.64,0,0,0,4.179177284,4.046111107,3.818068743,0
58,Indonesia,74.0,5.399,105.0,4.813,108.0,4.691999912,106.0,4.707,92.0,5.192,70.768,71.035,71.282,71.509,0,1605.605434,1732.564262,1981.65105,2005.863005,2104.1459,6.78,6.93,6.83,0,0,0,5.136325359,5.098401546,5.340295792,0
59,Iran,110.0,4.686,112.0,4.575,117.0,4.497000217,117.0,4.456,117.0,4.548,75.796,76.047,76.271,76.479,0,3331.6951280000008,3562.845756,3837.651731,3893.846425,4135.569263,5.01,5.11,5.1,0,0,0,4.652730942,4.716783047,4.278117657,0
60,Iraq,112.0,4.677,19.0,6.907,15.0,6.977000237,14.0,6.977,126.0,4.437,69.929,70.122,70.294,70.454,0,4904.326877,5253.424843,5520.310789,0.0,0.0,-,4.28,4.34,0,0,0,4.4125370980000005,4.462399006,0.0,0
61,Ireland,18.0,6.94,11.0,7.267,11.0,7.212999821,19.0,6.814,16.0,7.021,81.45365854,81.65365854,82.15609756,82.25609756,0,4989.803075,4776.726499,5205.288255,5834.166211,5955.10901,8.68,8.54,8.52,0,0,0,7.04073143,7.060155392,6.962335587,0
62,Israel,11.0,7.278,50.0,5.977,48.0,5.964000225,47.0,6.0,13.0,7.1389999999999985,82.05121951,82.40731707,82.55121951,82.80243902,0,61995.42277999999,63197.08237,69822.34718,78621.22796,78660.95646,7.66,7.87,7.61,0,0,0,7.159010887000001,7.331036091,6.92717886,0
63,Italy,50.0,5.948,139.0,3.916,128.0,4.179999828,107.0,4.671,36.0,6.223,82.54390244,83.24390244,82.94634146,83.34634146,0,35776.79517,37321.62404,40541.86209,41719.72544,43641.39774,8.09,8.05,8.04,0,0,0,5.95452404,6.198870182,6.516526699,0
64,Jamaica,65.0,5.709,53.0,5.921,51.0,5.920000076,54.0,5.915,56.0,5.89,74.098,74.175,74.267,74.368,0,30230.2263,30939.71425,32406.72032,34520.08516,33189.5658,7.18,7.17,7.2,0,0,0,0.0,5.889759064,0.0,0
65,Japan,46.0,5.987,80.0,5.303,74.0,5.335999966,90.0,5.1610000000000005,58.0,5.886,83.79390244,83.98487805,84.0997561,84.21097561,0,4907.5037200000015,4843.338474,5069.183838,5354.2368590000015,5582.263778000001,8.3,8.3,8.28,0,0,0,5.954650879,5.910676479,5.793575287,0
66,Jordan,82.0,5.192,54.0,5.919,60.0,5.818999767,60.0,5.79,101.0,4.9060000000000015,74.078,74.184,74.292,74.405,0,34524.469860000005,38761.81815,38386.51115,39159.42356,40246.88013,6.91,6.94,6.84,0,0,0,5.27128458,4.808082581,4.638933659,0
67,Kazakhstan,54.0,5.855,122.0,4.356,112.0,4.552999973,124.0,4.41,60.0,5.809,72.0,72.3,72.95,73.15,0,4105.448961,4103.7336,4162.8206869999985,4241.788782,4330.329346,6.77,6.75,6.9,0,0,0,5.533551693,5.882351398,6.00763607,0
68,Kenya,125.0,4.419,77.0,5.401,78.0,5.278999805,66.0,5.662000000000001,121.0,4.509,64.798,65.393,65.90899999999999,66.342,0,10510.77189,7714.841844,9247.581331,9812.601405,9731.145207,6.69,6.98,6.85,0,0,0,4.396127701,4.475654125,4.655702591,0
69,Kosovo,69.0,5.589,41.0,6.239,39.0,6.1050000189999984,45.0,6.082999999999998,46.0,6.1,71.34634146,71.64634146,71.94634146,72.19512195,0,1336.883349,1410.527568,1572.335496,1707.986805,1816.546916,0,0.0,0.0,0,0,0,5.759412289,6.149199962999999,6.391825676,0
70,Kuwait,39.0,6.295,85.0,5.185,98.0,5.004000187,92.0,5.131,51.0,6.021,75.13,75.22399999999998,75.311,75.398,0,28732.23108,29288.87044,31616.8434,33340.26515,31761.97769,5.89,6.15,6.19,0,0,0,5.947194576,6.093905449,0.0,0
